"parent_column","spelling","rows_in_prod","existing_type_or_category","proposed_source_name","proposed_kind","proposed_locality","proposed_acquired_from","proposed_website","confidence","action","reason","residue_stays_in_free_text"
"inventory_items.source","Botanical Interests (via Gardener’s Supply Company, Hadley MA (retail store))","8","seeds","Botanical Interests","seed_company","","Gardener’s Supply Company","","high","split","DAVE'S QUESTION, ANSWERED BY HIS OWN DATA: not one fact, two. All 8 rows already carry metadata.vendor='Botanical Interests' AND metadata.purchase_location='Gardener’s Supply Company, Hadley MA'. source_id=the brand, acquired_from_source_id=the shop. Merging them would erase either 'which seed company bred this' or 'which shop can I walk into'.",""
"inventory_items.source","Botanical Interests online order #350019 (confirmed 2026-07-08, received 2026-07-18); July 2026 intake.","38","seeds","Botanical Interests","seed_company","","","","high","merge","38 rows. metadata.vendor + metadata.origin='BI-order-350019-2026-07-18' already deduplicate this.","order #350019, confirmed 2026-07-08, received 2026-07-18, 'July 2026 intake' - order number and dates have NO column in this migration and MUST stay"
"inventory_items.source","Botanical Interests online order; captured 2026-06-10 as official seed->plant pipeline seeding","89","seeds","Botanical Interests","seed_company","","","","high","merge","89 rows. metadata.vendor='Botanical Interests' and metadata.origin='BI-order-2026-06-09' already carry both halves; the string is an intake note wearing a vendor's name.","'captured 2026-06-10 as official seed->plant pipeline seeding' - an intake note with no column; keep it in source until it has one"
"inventory_items.source","Botanical Interests packet","9","seeds","Botanical Interests","seed_company","","","","high","merge","'packet' is the item format, not part of the vendor's name. metadata.vendor already reads 'Botanical Interests' on all 9 rows.","nothing - 'packet' is item-level and already implied by category='seeds'"
"plants.source_ref","Botanical Interests","31","seed_packet","Botanical Interests","seed_company","","","","high","merge","31 plants, source_type=seed_packet. Same company as the 4 inventory spellings.",""
"plants.source_ref","Burpee","4","nursery_transplant","Burpee","seed_company","","","","high","new","4 rows. source_type is nursery_transplant, which is the ACQUISITION axis and untouched here.",""
"plants.source_ref","Chapley Gardens - 397 Greenfield Rd Deerfield MA","3","rescued","Chapley Gardens","nursery","Deerfield, MA","","","high","new","DAVE'S NAMED EXAMPLE. The address stops living in the name: 'Chapley Gardens' -> name, '397 Greenfield Rd' -> address, 'Deerfield, MA' -> locality.","nothing - the whole string decomposes into three columns"
"plants.source_ref","Class Grass Garden Canter","1","nursery_transplant","Class Grass Garden Center","nursery","Granby, MA","","","high","new","DAVE SUPPLIED THE ANSWER 2026-09-03 with a screenshot of the business's own site: CLASS GRASS GARDEN CENTER, Granby MA, (413) 467-7979. So 'Class Grass' was never garbled - only 'Canter' was, and it is 'Center'. Worth recording WHY the caution was still right: after he confirmed the Canter->Center half, the remaining words were an unverified transcription from the same voice entry, and there was no way from inside the data to tell a real name from a second mishearing. Waiting cost one row's delay; guessing 'Class Grass' wrong would have created a business that does not exist and looked checked.","phone (413) 467-7979 - no column for it in this migration; belongs in notes"
"plants.source_ref","Emma Daley 2026.06.13","1","gift","Emma Daley","person","","","","high","new","The date is the day of the gift, not part of her name.","'2026.06.13' - the gift date; no column for it here"
"inventory_items.source","Amazon (GoveeLife)","2","other","GoveeLife","brand","","Amazon","","high","split","Brand-via-retailer, the same two-fact shape as the Gardener's Supply rows. metadata.retailer='Amazon' already says so on 10 rows.",""
"inventory_items.source","Greenfield Co-op","2","seeds","Greenfield Farmers Co-op","market","Greenfield, MA","","","high","merge","Same co-op reached from the inventory column - one of the 9 shared places.",""
"plants.source_ref","Greenfield Co-op","3","rescued","Greenfield Farmers Co-op","market","Greenfield, MA","","","high","merge","Shortening of the row below; both source_type='rescued'. Also appears in inventory.",""
"plants.source_ref","Greenfield Farmers Co-op","1","rescued","Greenfield Farmers Co-op","market","Greenfield, MA","","","high","new","The fuller name; adopted as canonical.",""
"plants.source_ref","Greenfield Farmers Market","1","nursery_transplant","Greenfield Farmers Market","market","Greenfield, MA","","","high","new","DAVE RULED 2026-09-03: 'GFM - different.' Confirmed distinct from the Greenfield co-op; the design's refusal to fuse two near-names was right. He then stated the requirement the market makes concrete, verbatim: 'I need to be able to record Dave's Natural Garden or Bostrom Farms (vendor) and also provide Greenfield Farmers Market (where they were - vendors move around AND often have their own brick and mortar stores/shops/stands where I might buy something).' VERIFIED SUPPORTED, not assumed: both source_id and acquired_from_source_id REFERENCE public.source(id) (0a-additive-ddl.sql:280-281, 284-285), so one source row can be the vendor on one purchase and the venue on another, and because the venue sits on the PARENT row rather than on the vendor, a vendor who trades at several markets needs no duplicate rows. A market is a venue that hosts vendors; the vendor is who grew it.",""
"inventory_items.source","Gurney's Seed & Nursery Co.","1","seeds","Gurney's Seed & Nursery Co.","seed_company","","","","high","new","One row; metadata.vendor matches the string exactly.",""
"plants.source_ref","Hatley Plant Swap","1","plant_swap","Hadley Plant Swap","plant_swap","Hadley, MA","","","high","rename","DAVE RULED 2026-09-03: 'hadley (not hatley)'. Reading (b) of the three put to him - the stored spelling is a mistyping of Hadley, a real adjacent town, and the swap stays SEPARATE from Hatfield. The 2026-05-30 Cantaloupe came from Hadley.",""
"plants.source_ref","Hart Farm trust stand","1","nursery_transplant","Hart Farm","farm_stand","","","","high","new","'trust stand' is the KIND (honour-system), not part of the name - it moves to source.kind.","nothing"
"plants.source_ref","Hatfield Plant Swap","1","gift","Hatfield Plant Swap","plant_swap","Hatfield, MA","","","high","new","DAVE RULED 2026-09-03: Hatfield and Hadley are separate places. Stands alone; NOT merged with the 2026-05-30 swap, which is Hadley. Reading (c) of the three put to him.",""
"inventory_items.source","High Mowing Organic Seeds","1","seeds","High Mowing Organic Seeds","seed_company","","","","high","new","The full legal name; adopted as canonical over the two shortenings.",""
"inventory_items.source","High Mowing Organic Seeds (via Gardener’s Supply Company, Hadley MA (retail store))","1","seeds","High Mowing Organic Seeds","seed_company","","Gardener’s Supply Company","","high","split","Same two-fact split as the Botanical Interests via-row; metadata.purchase_location confirms.",""
"inventory_items.source","High Mowing packet","2","seeds","High Mowing Organic Seeds","seed_company","","","","high","merge","PROOF THAT FREE TEXT CANNOT HOLD A VOCABULARY: these 2 rows carry metadata.vendor='High Mowing' while the row above carries 'High Mowing Organic Seeds'. The drift has already reached the JSON layer that was supposed to be the clean one.","nothing"
"plants.source_ref","High Mowing Organic Seeds","3","seed_packet","High Mowing Organic Seeds","seed_company","","","","high","merge","Same company as the 3 inventory spellings.",""
"inventory_items.source","Hillfolk Seed Collective","2","seeds","Hillfolk Seed Collective","seed_company","","","","high","new","2 rows; metadata.vendor matches exactly. A small collective rather than a catalogue company, but the kind is the same.",""
"inventory_items.source","Home Depot","15","containers+other+pest_control+tools","Home Depot","retail","","","","high","new","15 rows across 4 item categories.",""
"plants.source_ref","Home Depot","2","nursery_transplant","Home Depot","retail","","","","high","merge","Same retailer as the 15 inventory rows - one of the 9 shared places.",""
"plants.source_ref","Imogen","3","gift","Imogen","person","","","","high","new","3 rows, all source_type=gift. A first name with no surname - kept exactly as Dave wrote it.",""
"plants.source_ref","Jen from Four Phantoms","12","nursery_transplant","Jen","person","Greenfield, MA","Four Phantoms Brewing Company","","high","split","DAVE CONFIRMED 2026-09-03. TWO FACTS, and the answer came from session notes rather than the data: Four Phantoms is Four Phantoms Brewing Company, 301 Wells St, Greenfield MA, and the Jen named is a CO-OWNER OF THE BREWERY - not Dave's partner Jen, and not a farm or nursery, of which there is none by that name. Dave collected the plants himself. 12 rows, the fourth-largest spelling. Weight this one: it is the batch whose pot labels Dave says he mixed up, so the source is the only field on these twelve plants still known to be right.","the brewery's street address, 301 Wells St - belongs on source.address once the shop row exists"
"inventory_items.source","Jen's uncle","1","seeds","Jen's uncle","person","","","","high","new","DAVE RULED 2026-09-03: 'Jen's uncle is the person, keep it that way. no proper name.' So the relationship IS the identifier here and stands as the source name - not a placeholder awaiting a real name, and not to be rewritten as a gift from Jen. He is the person the seed came from.",""
"inventory_items.source","Johnny's Selected Seeds","8","seeds","Johnny's Selected Seeds","seed_company","Winslow, ME","","https://www.johnnyseeds.com","high","new","8 rows, each with its OWN source_url product page - proof that inventory_items.source_url is per-item and does not replace source.website_url.",""
"inventory_items.source","Free from Belchertown Plant Swap, June 2026 (originally Lake Valley Seed, item #233)","1","seeds","Lake Valley Seed","seed_company","","Belchertown Plant Swap","","high","split","The string says 'originally' outright, and metadata.vendor='Lake Valley Seed' confirms. The packet's maker and the place Dave got it are different facts.","'Free', 'June 2026', 'item #233' - the item number has no column and MUST stay"
"inventory_items.source","Livingston packet","1","seeds","Livingston Seed","seed_company","","","","high","new","DAVE RULED 2026-09-03: 'expand livingston'. metadata.vendor reads bare 'Livingston', read off a PHOTO of the physical packet (metadata.origin='physical-packet-photo-2026-06-05'). One row: the Alpine strawberry, which he says was bought in spring 2026 and never planted out.","nothing - 'packet' is the item format, already implied by category='seeds'"
"plants.source_ref","Liz Young via Belchertown Plant Swap June","1","gift","Liz Young","person","","Belchertown Plant Swap","","medium","split","TWO FACTS, same shape as the via-shop rows: a named person, met at a named event. Confidence is medium only because it is a single row and Dave may prefer to record just the swap.","'June'"
"plants.source_ref","Long River","1","volunteer","Long River Produce Market","market","Deerfield, MA","","","high","merge","DAVE RULED 2026-09-03: 'Long River is Long River Produce Market: alias for it.' Merged into the 26-row canonical spelling. The design flagged it because this row's source_type is 'volunteer' rather than 'rescued' like the others, and a volunteer seedling credited to a shop reads oddly - but source_type is a separate axis this migration does not touch, so the oddity stays visible on the row where it belongs instead of being resolved by a guess about the place.",""
"plants.source_ref","Long River Market, Deerfield, MA, USA","1","","Long River Produce Market","market","Deerfield, MA","","","high","merge","Same business with the address welded into the name - exactly the pattern Dave asked to stop. The town moves to source.locality.","nothing - 'Deerfield, MA, USA' becomes source.locality"
"plants.source_ref","Long River Produce Market","26","rescued","Long River Produce Market","market","Deerfield, MA","","","high","new","26 rows, the second-largest plants spelling. Canonical.",""
"inventory_items.source","Magic Wings Inc (via Belchertown Plant Swap)","1","seeds","Magic Wings","organization","South Deerfield, MA","Belchertown Plant Swap","https://magicwings.com/","high","split","Explicit 'via'. The row's own source_url is magicwings.com, so the originator is the conservatory and the swap is where it changed hands.",""
"inventory_items.source","Mary's Heirloom Seeds online order (HOMESTEAD discount); July 2026 intake. Received 2026-07-17.","36","seeds","Mary's Heirloom Seeds","seed_company","","","","high","merge","36 rows. metadata.vendor='Mary's Heirloom Seeds' and metadata.origin='MHS-order-2026-07-17' already hold the clean name and the batch.","'(HOMESTEAD discount)', 'July 2026 intake', 'Received 2026-07-17' - a discount code has no column anywhere and must stay"
"inventory_items.source","Massachusetts Flower Growers Association","1","seeds","Massachusetts Flower Growers Association","organization","","","","high","new","A trade association; one seeds row.",""
"inventory_items.source","Amazon (NaturesGoodGuys)","1","pest_control","NaturesGoodGuys","brand","","Amazon","","high","split","Brand-via-retailer. Beneficial-insect supplier; the shop is Amazon.",""
"plants.source_ref","Nettlepoint Farm","1","gift","Nettlepoint Farm","farm_stand","","","","medium","new","One row, source_type=gift. A farm that gave rather than sold; the gift is the transaction (plants.source_type) and the farm is the place.",""
"plants.source_ref","Ojos de Luna","4","gift","Ojos de Luna","person","","","","high","new","DAVE RULED 2026-09-03: 'ojos is a person, name her so' - a woman, recorded under this name. The design had `person` as a placeholder among four readings; it is now the answer. All 4 rows are gifts from her, which is consistent.",""
"inventory_items.source","Gardens at Mathews","1","seeds","Own garden","own_garden","","","","high","merge","DAVE CONFIRMED 2026-09-03. Not a nursery - it is Dave's OWN garden, recorded by its name (the name on his own site). The design read it as an unidentified business because nothing in the data says otherwise; the answer was outside the data. Merged into the same 'Own garden' source as the home-saved row.",""
"inventory_items.source","Home-saved (source not recorded)","1","seeds","Own garden","own_garden","","","","high","merge","Seed saved from Dave and Jen's own plants. NOTE THE OVERLAP: inventory_items.source_plant_id and source_kind='own_garden' (V4-SEEDLINK-001 / V4-SEEDORIGIN-001) are the PURPOSE-BUILT home for this, and are richer - they can name the parent plant. Dave should decide whether this row wants a source_id at all, or belongs entirely on those columns.
DAVE RULED 2026-09-03: 'more or less, yes' - it belongs on the parent-plant link and the own_garden origin, which can name the actual plant. His condition, and it is a REQUIREMENT not a footnote: 'there may be some rare cases where I don't know where a seed may have come from, so so long as I can use Unknown in general, this works for me.' Filed as its own item.","'(source not recorded)' - the honest admission that the parent plant is unknown"
"inventory_items.source","Panorama Tours, Austria (souvenir)","1","seeds","Panorama Tours","other","Austria","","","medium","new","A souvenir seed packet from a tour company. Not a garden source in any normal sense, which is what 'other' is for.","'(souvenir)'"
"plants.source_ref","Renee's Garden","2","seed_packet","Renee's Garden","seed_company","","","","high","new","2 rows, source_type=seed_packet.",""
"inventory_items.source","Sandia Seed Company online order #152165; August 2026 intake.","35","seeds","Sandia Seed Company","seed_company","","","","high","merge","35 rows. Order number and intake month are welded into the identity; only the company name is the identity.","order #152165, 'August 2026 intake' - NO column for either; must stay in source"
"inventory_items.source","Seed Savers Exchange (via Gardener’s Supply Company, Hadley MA (retail store))","3","seeds","Seed Savers Exchange","seed_company","Decorah, IA","Gardener’s Supply Company","","high","split","Third instance of the same via-shop shape; metadata.purchase_location confirms.",""
"inventory_items.source","Seed Savers Exchange packet","3","seeds","Seed Savers Exchange","seed_company","Decorah, IA","","","high","merge","'packet' is the item format. metadata.vendor already reads the clean name.","nothing"
"plants.source_ref","Seed Savers Exchange","1","seed_packet","Seed Savers Exchange","seed_company","Decorah, IA","","","high","merge","Same organisation as the 2 inventory spellings.",""
"plants.source_ref","Shawski Farm","1","nursery_transplant","Skawski Farms","nursery","","","","high","merge","Same transposition, singular. Same day (2026-05-31), same source_type, same shopping trip.",""
"plants.source_ref","Shawski Farms","2","nursery_transplant","Skawski Farms","nursery","","","","high","merge","The h/k transposition, twice typed. Was provisionally the canonical label on a 2-1 majority; Dave's 2026-09-04 ruling reversed that against the vendor's own spelling.",""
"plants.source_ref","Skawski Farms","1","nursery_transplant","Skawski Farms","nursery","","","https://www.skawskifarms.com","high","new","DAVE RULED 2026-09-04 with the business's own site: 'SKAWSKI FARMS, INC'. This spelling is correct and is the label, despite holding only 1 of the 4 rows. kind farm_stand -> nursery on the same evidence (two acres of greenhouses, grown on site), which also agrees with the rows' source_type of nursery_transplant.",""
"plants.source_ref","Starview","2","nursery_transplant","Starview Gardens","nursery","","","","high","merge","Same nursery, same source_type, same week (2026-06-07 / 2026-06-12). NOTE: match_key cannot catch this pair - an omitted word is invisible to any normalising unique index. It is caught by the picker, not by the schema.",""
"plants.source_ref","Starview Gardens","46","nursery_transplant","Starview Gardens","nursery","","","","high","new","46 rows, the largest plants spelling. Canonical.",""
"plants.source_ref","Sunderland - trust stand","1","nursery_transplant","Sunderland trust stand","farm_stand","Sunderland, MA","","","high","new","DAVE RULED 2026-09-03: he is unsure whether he knows the farm, and directed that partial knowledge is enough - 'this should be a fill-in system where I provide as many details as I know... any entry, even unknown, should become an entity with a record and log.' So this becomes a real source row on what IS known: the town and that it was a trust stand. Detail can be added later without a migration; every column but name is nullable by design. Not a placeholder and not a deferral. ",""
"plants.source_ref","The Warren Place Flower Farm","1","nursery_transplant","The Warren Place Flower Farm","nursery","","","","high","new","A flower farm selling transplants; source_type=nursery_transplant.",""
"inventory_items.source","Amazon (Toudura)","1","other","Toudura","brand","","Amazon","","high","split","Brand-via-retailer. Same shape as the other two Amazon parentheticals.",""
"plants.source_ref","Trust stand in Hadley","1","","Trust stand, Hadley","farm_stand","Hadley, MA","","","high","new","DAVE RULED 2026-09-03: he is unsure whether he knows the farm, and directed that partial knowledge is enough - 'this should be a fill-in system where I provide as many details as I know... any entry, even unknown, should become an entity with a record and log.' So this becomes a real source row on what IS known: the town and that it was a trust stand. Detail can be added later without a migration; every column but name is nullable by design. Not a placeholder and not a deferral. ",""
"plants.source_ref","Trust Stand Greenfield -Upper Road","1","nursery_transplant","Trust stand, Upper Road","farm_stand","Greenfield, MA","","","high","new","DAVE RULED 2026-09-03: he is unsure whether he knows the farm, and directed that partial knowledge is enough - 'this should be a fill-in system where I provide as many details as I know... any entry, even unknown, should become an entity with a record and log.' So this becomes a real source row on what IS known: the town and that it was a trust stand. Detail can be added later without a migration; every column but name is nullable by design. Not a placeholder and not a deferral. ",""
"inventory_items.source","UMass Amherst Libraries - Common Seed Project","1","seeds","UMass Amherst Libraries Common Seed Project","organization","Amherst, MA","","https://guides.library.umass.edu/commonseed","high","new","A library seed-lending programme, not a vendor. URL taken from the row's own source_url.",""
"inventory_items.source","Walmart","9","containers+growing_media+lighting+other+pest_control","Walmart","retail","","","","high","new","9 rows, supplies only.",""
"plants.source_ref","Whatley Giving Garden","1","plant_swap","Whately Plant Swap","plant_swap","Whately, MA","","","high","merge","DAVE RULED 2026-09-03: same thing as 'Whatley Plant Swap' one day later. Merged into it. The giving-garden-vs-event distinction the design raised is not a real distinction here - it is one place Dave typed two ways. Label carries the 2026-09-04 Whately spelling correction.",""
"plants.source_ref","Whatley Plant Swap","4","rescued","Whately Plant Swap","plant_swap","Whately, MA","","","high","new","DAVE RULED 2026-09-03: 'the whatley swap/giving garden are the same thing (and different from hatfield and hatley)'. This row is the merge TARGET - 4 of the 5 rows. DAVE RULED 2026-09-04: label corrected to the town's real spelling, Whately.",""
