"proposed_source_name","proposed_kind","proposed_locality","proposed_address","proposed_website","notes_seed","rows_affected","rows_as_acquired_from","spellings_merged","spelling_examples","confidence","needs_dave","why"
"Own garden","own_garden","","","","","2","0","2","Gardens at Mathews | Home-saved (source not recorded)","high","",""
"Renee's Garden","seed_company","","","","","2","0","1","Renee's Garden","high","",""
"Best Buy","retail","","","","","1","0","1","Best Buy","high","",""
"Class Grass Garden Center","nursery","Granby, MA","","","","1","0","1","Class Grass Garden Canter","high","",""
"Emma Daley","person","","","","","1","0","1","Emma Daley 2026.06.13","high","",""
"Greenfield Farmers Market","market","Greenfield, MA","","","","1","0","1","Greenfield Farmers Market","high","",""
"Gurney's Seed & Nursery Co.","seed_company","","","","","1","0","1","Gurney's Seed & Nursery Co.","high","",""
"Hadley Plant Swap","plant_swap","Hadley, MA","","","","1","0","1","Hatley Plant Swap","high","",""
"Hart Farm","farm_stand","","","","","1","0","1","Hart Farm trust stand","high","",""
"Hatfield Plant Swap","plant_swap","Hatfield, MA","","","","1","0","1","Hatfield Plant Swap","high","",""
"Jen's uncle","person","","","","","1","0","1","Jen's uncle","high","",""
"Lake Valley Seed","seed_company","","","","","1","0","1","Free from Belchertown Plant Swap, June 2026 (originally Lake Valley Seed, item #233)","high","",""
"Livingston Seed","seed_company","","","","","1","0","1","Livingston packet","high","",""
"Liz Young","person","","","","","1","0","1","Liz Young via Belchertown Plant Swap June","medium","YES","TWO FACTS, same shape as the via-shop rows: a named person, met at a named event. Confidence is medium only because it is a single row and Dave may prefer to record just the swap."
"Magic Wings","organization","South Deerfield, MA","","https://magicwings.com/","","1","0","1","Magic Wings Inc (via Belchertown Plant Swap)","high","",""
"Massachusetts Flower Growers Association","organization","","","","","1","0","1","Massachusetts Flower Growers Association","high","",""
"NaturesGoodGuys","brand","","","","","1","0","1","Amazon (NaturesGoodGuys)","high","",""
"Nettlepoint Farm","farm_stand","","","","","1","0","1","Nettlepoint Farm","medium","YES","One row, source_type=gift. A farm that gave rather than sold; the gift is the transaction (plants.source_type) and the farm is the place."
"Panorama Tours","other","Austria","","","","1","0","1","Panorama Tours, Austria (souvenir)","medium","YES","A souvenir seed packet from a tour company. Not a garden source in any normal sense, which is what 'other' is for."
"Sunderland trust stand","farm_stand","Sunderland, MA","","","","1","0","1","Sunderland - trust stand","high","",""
"The Warren Place Flower Farm","nursery","","","","","1","0","1","The Warren Place Flower Farm","high","",""
"Toudura","brand","","","","","1","0","1","Amazon (Toudura)","high","",""
"Trust stand, Hadley","farm_stand","Hadley, MA","","","","1","0","1","Trust stand in Hadley","high","",""
"Trust stand, Upper Road","farm_stand","Greenfield, MA","Upper Road","","","1","0","1","Trust Stand Greenfield -Upper Road","high","",""
"UMass Amherst Libraries Common Seed Project","organization","Amherst, MA","","https://guides.library.umass.edu/commonseed","","1","0","1","UMass Amherst Libraries - Common Seed Project","high","",""
